2023-12-02 15:42:50.579 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:42:50.592 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:42:51.132 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7016038807.txt
2023-12-02 15:42:51.136 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7036047526.txt
2023-12-02 15:42:51.141 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7056052967.txt
2023-12-02 15:42:51.147 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7066031180.txt
2023-12-02 15:42:51.151 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7096021264.txt
2023-12-02 15:42:51.156 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7106019968.txt
2023-12-02 15:42:51.160 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7126035004.txt
2023-12-02 15:42:51.165 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7136035082.txt
2023-12-02 15:42:51.169 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7246007520.txt
2023-12-02 15:42:51.173 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_7276004910.txt
2023-12-02 15:42:51.177 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_8016002447.txt
2023-12-02 15:42:51.182 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_8036037254.txt
2023-12-02 15:42:51.186 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_8056018069.txt
2023-12-02 15:42:51.191 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_8076041104.txt
2023-12-02 15:42:51.196 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_9026020570.txt
2023-12-02 15:42:51.201 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_9036018226.txt
2023-12-02 15:42:59.314 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-02 15:46:24.600 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:46:24.607 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:46:24.617 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230301_0236035053.txt
2023-12-02 15:46:24.621 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230302_0236035053.txt
2023-12-02 15:46:24.624 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230303_0236035053.txt
2023-12-02 15:46:24.628 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230304_0236035053.txt
2023-12-02 15:46:24.631 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230305_0236035053.txt
2023-12-02 15:46:24.635 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230306_0236035053.txt
2023-12-02 15:46:24.646 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230307_0236035053.txt
2023-12-02 15:46:24.655 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230308_0236035053.txt
2023-12-02 15:46:24.661 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230309_0236035053.txt
2023-12-02 15:46:24.669 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230310_0236035053.txt
2023-12-02 15:46:24.674 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230311_0236035053.txt
2023-12-02 15:46:24.678 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230312_0236035053.txt
2023-12-02 15:46:24.683 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230313_0236035053.txt
2023-12-02 15:46:24.686 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230314_0236035053.txt
2023-12-02 15:46:24.690 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230315_0236035053.txt
2023-12-02 15:46:24.693 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230316_0236035053.txt
2023-12-02 15:46:24.698 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230317_0236035053.txt
2023-12-02 15:46:24.701 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230318_0236035053.txt
2023-12-02 15:46:24.704 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230319_0236035053.txt
2023-12-02 15:46:24.708 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230320_0236035053.txt
2023-12-02 15:46:24.711 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230321_0236035053.txt
2023-12-02 15:46:24.714 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230322_0236035053.txt
2023-12-02 15:46:24.718 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230323_0236035053.txt
