2023-12-08 06:26:56.932 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7016038807.txt
2023-12-08 06:26:56.936 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7036047526.txt
2023-12-08 06:26:56.939 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7056052967.txt
2023-12-08 06:26:56.943 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7066031180.txt
2023-12-08 06:26:56.946 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7096021264.txt
2023-12-08 06:26:56.950 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7106019968.txt
2023-12-08 06:26:56.953 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7126035004.txt
2023-12-08 06:26:56.957 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7136035082.txt
2023-12-08 06:26:56.960 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7246007520.txt
2023-12-08 06:26:56.964 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7276004910.txt
2023-12-08 06:26:56.967 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8016002447.txt
2023-12-08 06:26:56.971 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8036037254.txt
2023-12-08 06:26:56.974 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8056018069.txt
2023-12-08 06:26:56.977 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8076041104.txt
2023-12-08 06:26:56.981 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_9026020570.txt
2023-12-08 06:26:56.984 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_9036018226.txt
2023-12-08 06:27:04.778 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
