2023-12-20 17:49:26.877 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:56:49.657 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2216009679.txt
2023-12-20 17:56:49.660 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2336001055.txt
2023-12-20 17:56:49.665 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3066002233.txt
2023-12-20 17:56:49.668 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3086018852.txt
2023-12-20 17:56:49.674 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3106016159.txt
2023-12-20 17:56:49.677 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3116008418.txt
2023-12-20 17:56:49.681 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3226024418.txt
2023-12-20 17:56:49.684 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3426001209.txt
2023-12-20 17:56:49.688 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4016004292.txt
2023-12-20 17:56:49.692 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4036025988.txt
2023-12-20 17:56:49.694 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4046013060.txt
2023-12-20 17:56:49.698 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4056007179.txt
2023-12-20 17:56:49.701 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4086006197.txt
2023-12-20 17:56:49.705 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4096030112.txt
2023-12-20 17:56:49.708 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4116040789.txt
2023-12-20 17:56:49.710 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4126000135.txt
2023-12-20 17:56:49.713 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4136032447.txt
2023-12-20 17:56:49.717 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4206006032.txt
2023-12-20 17:56:49.722 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5036027612.txt
2023-12-20 17:56:49.726 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5046009560.txt
2023-12-20 17:56:49.729 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5056021873.txt
2023-12-20 17:56:49.733 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5066029443.txt
2023-12-20 17:56:49.735 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5076039131.txt
2023-12-20 17:56:49.739 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5106044197.txt
2023-12-20 17:56:49.742 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5126008234.txt
