2023-12-27 18:11:08.068 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231126_0236060678.txt
2023-12-27 18:11:08.070 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231127_0231072228.txt
2023-12-27 18:11:08.074 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231127_0236035053.txt
2023-12-27 18:11:08.078 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231127_0236060678.txt
2023-12-27 18:11:08.081 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231128_0231072228.txt
2023-12-27 18:11:08.084 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231128_0236035053.txt
2023-12-27 18:11:08.089 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231128_0236060678.txt
2023-12-27 18:11:08.093 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231129_0231072228.txt
2023-12-27 18:11:08.096 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231129_0236035053.txt
2023-12-27 18:11:08.100 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231129_0236060678.txt
2023-12-27 18:11:08.104 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_0231072228.txt
2023-12-27 18:11:08.108 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_0236035053.txt
2023-12-27 18:11:08.111 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_0236060678.txt
2023-12-27 18:11:08.115 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_1016044887.txt
2023-12-27 18:11:08.119 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_1116012685.txt
2023-12-27 18:11:08.123 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_1156000955.txt
2023-12-27 18:11:08.126 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_1166002780.txt
2023-12-27 18:11:08.130 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_1186030852.txt
2023-12-27 18:11:08.134 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2016030259.txt
2023-12-27 18:11:08.137 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2046006062.txt
2023-12-27 18:11:08.141 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2076044310.txt
2023-12-27 18:11:08.144 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2086043252.txt
2023-12-27 18:11:08.147 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2116013399.txt
2023-12-27 18:11:08.154 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2136037749.txt
